"ensembl.gene.id","ensembl.transcript.id","chromosome.name","gene.start","gene.end","strand","transcript.start","transcript.end.","gene.name","transcript.count","gc.content","gene.type","transcript.type","gene.length"
"ENSG00000238390","ENST00000458922",21,31664306,31664482,1,31664306,31664482,"SNORA81",1,41.24,"snoRNA","snoRNA",176
"ENSG00000278233","ENST00000612463",21,8212572,8212724,1,8212572,8212724,"RNA5-8S5",1,57.52,"rRNA","rRNA",152
"ENSG00000266211","ENST00000580304",21,13406384,13406460,-1,13406384,13406460,"MIR3156-3",1,42.86,"miRNA","miRNA",76
"ENSG00000266195","ENST00000583100",21,17506453,17506728,1,17506453,17506728,"RN7SL163P",1,57.97,"misc_RNA","misc_RNA",275
"ENSG00000278618","ENST00000621412",21,13724189,13724274,1,13724189,13724274,"MIR8069-2",1,56.98,"miRNA","miRNA",85
"ENSG00000226433","ENST00000450830",21,33156632,33159110,1,33156632,33159110,"AP000290.7",1,41.06,"antisense","antisense",2478
"ENSG00000263973","ENST00000585040",21,40212352,40212431,-1,40212352,40212431,"MIR4760",1,33.75,"miRNA","miRNA",79
"ENSG00000235312","ENST00000445258",21,30514613,30514799,-1,30514613,30514799,"KRTAP19-10P",1,48.66,"unprocessed_pseudogene","unprocessed_pseudogene",186
"ENSG00000276873","ENST00000616808",21,39171462,39171560,-1,39171462,39171560,"uc_338",1,55.56,"misc_RNA","misc_RNA",98
"ENSG00000207147","ENST00000384418",21,40513144,40513279,1,40513144,40513279,"SNORA51",1,50,"snoRNA","snoRNA",135
"ENSG00000233754","ENST00000420273",21,42781074,42782229,-1,42781074,42782229,"AP001628.7",1,57.61,"lincRNA","lincRNA",1155
"ENSG00000252273","ENST00000516464",21,16035413,16035509,-1,16035413,16035509,"RNU6-426P",1,31.96,"snRNA","snRNA",96
"ENSG00000206802","ENST00000384075",21,26190707,26190813,1,26190707,26190813,"RNU6-926P",1,39.25,"snRNA","snRNA",106
"ENSG00000201812","ENST00000364942",21,14070871,14070986,1,14070871,14070986,"RNA5SP488",1,60.34,"rRNA","rRNA",115
"ENSG00000207638","ENST00000384906",21,16539089,16539169,1,16539089,16539169,"MIR99A",1,53.09,"miRNA","miRNA",80
"ENSG00000278433","ENST00000613967",21,43609887,43609989,-1,43609887,43609989,"MIR6070",1,56.31,"miRNA","miRNA",102
"ENSG00000275631","ENST00000620684",21,9646825,9647000,1,9646825,9647000,"U1",1,45.45,"snRNA","snRNA",175
"ENSG00000264452","ENST00000583496",21,44439035,44439110,1,44439035,44439110,"snoZ6",1,64.47,"snoRNA","snoRNA",75
"ENSG00000212609","ENST00000391307",21,19345148,19345312,1,19345148,19345312,"RNU1-139P",1,45.45,"snRNA","snRNA",164
"ENSG00000279967","ENST00000624806",21,8101251,8103706,-1,8101251,8103706,"CH507-338C24.3",1,35.67,"TEC","TEC",2455
"ENSG00000260256","ENST00000568332",21,44347767,44348295,-1,44347767,44348295,"AP001063.1",1,53.69,"lincRNA","lincRNA",528
"ENSG00000199030","ENST00000362160",21,16539828,16539911,1,16539828,16539911,"MIRLET7C",1,47.62,"miRNA","miRNA",83
"ENSG00000160202","ENST00000291554",21,43169008,43172805,1,43169008,43172805,"CRYAA",5,63.16,"protein_coding","protein_coding",3797
"ENSG00000160202","ENST00000482775",21,43169008,43172805,1,43169087,43172805,"CRYAA",5,63.16,"protein_coding","processed_transcript",3797
"ENSG00000160202","ENST00000398133",21,43169008,43172805,1,43169601,43172294,"CRYAA",5,63.16,"protein_coding","protein_coding",3797
"ENSG00000160202","ENST00000398132",21,43169008,43172805,1,43170156,43172519,"CRYAA",5,63.16,"protein_coding","protein_coding",3797
"ENSG00000160202","ENST00000468016",21,43169008,43172805,1,43170227,43172638,"CRYAA",5,63.16,"protein_coding","retained_intron",3797
"ENSG00000200792","ENST00000363922",21,32377187,32377322,-1,32377187,32377322,"SNORA80A",1,55.88,"snoRNA","snoRNA",135
"ENSG00000201025","ENST00000364155",21,16284696,16284768,-1,16284696,16284768,"SNORD74",1,42.47,"snoRNA","snoRNA",72
"ENSG00000159110","ENST00000382264",21,33229901,33265675,1,33229901,33262756,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000404220",21,33229901,33265675,1,33229971,33265675,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000342136",21,33229901,33265675,1,33229974,33264525,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000420068",21,33229901,33265675,1,33229982,33246853,"IFNAR2",10,44.16,"protein_coding","processed_transcript",35774
"ENSG00000159110","ENST00000342101",21,33229901,33265675,1,33230136,33264525,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000382238",21,33229901,33265675,1,33230141,33262855,"IFNAR2",10,44.16,"protein_coding","nonsense_mediated_decay",35774
"ENSG00000159110","ENST00000413881",21,33229901,33265675,1,33230182,33262855,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000443073",21,33229901,33265675,1,33230182,33262855,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000447980",21,33229901,33265675,1,33230409,33248854,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774
"ENSG00000159110","ENST00000417007",21,33229901,33265675,1,33248744,33262757,"IFNAR2",10,44.16,"protein_coding","nonsense_mediated_decay",35774
"ENSG00000218125","ENST00000406413",21,30526546,30526701,-1,30526546,30526701,"AP000567.27",1,44.87,"unprocessed_pseudogene","unprocessed_pseudogene",155
"ENSG00000232884","ENST00000455253",21,14746762,14753863,-1,14746762,14753863,"AF127936.3",2,36.13,"lincRNA","lincRNA",7101
"ENSG00000232884","ENST00000454128",21,14746762,14753863,-1,14747746,14753462,"AF127936.3",2,36.13,"lincRNA","lincRNA",7101
"ENSG00000234730","ENST00000428205",21,21566763,21615437,1,21566763,21615437,"AF241725.4",1,36.14,"lincRNA","lincRNA",48674
"ENSG00000212479","ENST00000391177",21,29180425,29180639,-1,29180425,29180639,"U3",1,52.09,"snoRNA","snoRNA",214
"ENSG00000159261","ENST00000399139",21,36460621,36576569,-1,36460621,36466441,"CLDN14",6,46.47,"protein_coding","protein_coding",115948
"ENSG00000159261","ENST00000399137",21,36460621,36576569,-1,36460621,36480090,"CLDN14",6,46.47,"protein_coding","protein_coding",115948
"ENSG00000159261","ENST00000399135",21,36460621,36576569,-1,36460621,36480090,"CLDN14",6,46.47,"protein_coding","protein_coding",115948
"ENSG00000159261","ENST00000399136",21,36460621,36576569,-1,36460621,36542600,"CLDN14",6,46.47,"protein_coding","protein_coding",115948
"ENSG00000159261","ENST00000342108",21,36460621,36576569,-1,36460621,36576569,"CLDN14",6,46.47,"protein_coding","protein_coding",115948
"ENSG00000159261","ENST00000478313",21,36460621,36576569,-1,36526280,36542855,"CLDN14",6,46.47,"protein_coding","processed_transcript",115948
"ENSG00000252045","ENST00000516236",21,32538299,32538434,1,32538299,32538434,"SNORA33",1,49.26,"snoRNA","snoRNA",135
"ENSG00000249493","ENST00000359341",21,14064325,14069087,1,14064325,14069087,"ANKRD20A18P",1,35.73,"unprocessed_pseudogene","unprocessed_pseudogene",4762
"ENSG00000237338","ENST00000446649",21,46151614,46152647,1,46151614,46152647,"FTCD-AS1",1,61.41,"antisense","antisense",1033
"ENSG00000277437","ENST00000614492",21,8208844,8208904,1,8208844,8208904,"MIR3687-1",1,78.69,"miRNA","miRNA",60
"ENSG00000275469","ENST00000619419",21,23079284,23079392,1,23079284,23079392,"MIR6130",1,34.86,"miRNA","miRNA",108
"ENSG00000199962","ENST00000363092",21,17576798,17576906,1,17576798,17576906,"Y_RNA",1,39.45,"misc_RNA","misc_RNA",108
"ENSG00000156261","ENST00000432178",21,29055805,29073797,-1,29055805,29061376,"CCT8",12,38.32,"protein_coding","protein_coding",17992
"ENSG00000156261","ENST00000496121",21,29055805,29073797,-1,29056324,29062867,"CCT8",12,38.32,"protein_coding","retained_intron",17992
"ENSG00000156261","ENST00000470450",21,29055805,29073797,-1,29056324,29073639,"CCT8",12,38.32,"protein_coding","processed_transcript",17992
"ENSG00000156261","ENST00000286788",21,29055805,29073797,-1,29056324,29073797,"CCT8",12,38.32,"protein_coding","protein_coding",17992
"ENSG00000156261","ENST00000626972",21,29055805,29073797,-1,29056329,29073351,"CCT8",12,38.32,"protein_coding","protein_coding",17992
"ENSG00000156261","ENST00000480359",21,29055805,29073797,-1,29062128,29062737,"CCT8",12,38.32,"protein_coding","processed_transcript",17992
"ENSG00000156261","ENST00000475205",21,29055805,29073797,-1,29062169,29063468,"CCT8",12,38.32,"protein_coding","retained_intron",17992
"ENSG00000156261","ENST00000431234",21,29055805,29073797,-1,29062209,29073565,"CCT8",12,38.32,"protein_coding","protein_coding",17992
"ENSG00000156261","ENST00000484403",21,29055805,29073797,-1,29065060,29073615,"CCT8",12,38.32,"protein_coding","retained_intron",17992
"ENSG00000156261","ENST00000481059",21,29055805,29073797,-1,29065076,29072236,"CCT8",12,38.32,"protein_coding","processed_transcript",17992
"ENSG00000156261","ENST00000494296",21,29055805,29073797,-1,29067590,29073432,"CCT8",12,38.32,"protein_coding","processed_transcript",17992
"ENSG00000156261","ENST00000540844",21,29055805,29073797,-1,29056322,29073797,"CCT8",12,38.32,"protein_coding","protein_coding",17992
"ENSG00000243646","ENST00000290200",21,33266358,33310187,1,33266358,33297234,"IL10RB",7,46.79,"protein_coding","protein_coding",43829
"ENSG00000243646","ENST00000422891",21,33266358,33310187,1,33266382,33296239,"IL10RB",7,46.79,"protein_coding","nonsense_mediated_decay",43829
"ENSG00000243646","ENST00000493295",21,33266358,33310187,1,33267928,33296953,"IL10RB",7,46.79,"protein_coding","retained_intron",43829
"ENSG00000243646","ENST00000498371",21,33266358,33310187,1,33268282,33288120,"IL10RB",7,46.79,"protein_coding","retained_intron",43829
"ENSG00000243646","ENST00000451065",21,33266358,33310187,1,33276612,33296350,"IL10RB",7,46.79,"protein_coding","nonsense_mediated_decay",43829
"ENSG00000243646","ENST00000637650",21,33266358,33310187,1,33288133,33310187,"IL10RB",7,46.79,"protein_coding","protein_coding",43829
"ENSG00000243646","ENST00000609556",21,33266358,33310187,1,33288133,33310187,"IL10RB",7,46.79,"protein_coding","protein_coding",43829
"ENSG00000235772","ENST00000442605",21,42560374,42561934,-1,42560374,42561934,"AP001625.6",1,50.35,"antisense","antisense",1560
"ENSG00000231867","ENST00000429903",21,42508624,42509661,1,42508624,42509661,"AP001625.5",2,42,"sense_intronic","sense_intronic",1037
"ENSG00000231867","ENST00000455116",21,42508624,42509661,1,42508634,42509658,"AP001625.5",2,42,"sense_intronic","sense_intronic",1037
"ENSG00000182362","ENST00000397701",21,46286337,46297751,1,46286337,46297751,"YBEY",8,53.1,"protein_coding","protein_coding",11414
"ENSG00000182362","ENST00000468924",21,46286337,46297751,1,46286355,46291930,"YBEY",8,53.1,"protein_coding","retained_intron",11414
"ENSG00000182362","ENST00000397694",21,46286337,46297751,1,46286384,46297723,"YBEY",8,53.1,"protein_coding","protein_coding",11414
"ENSG00000182362","ENST00000329319",21,46286337,46297751,1,46286384,46297751,"YBEY",8,53.1,"protein_coding","protein_coding",11414
"ENSG00000182362","ENST00000339195",21,46286337,46297751,1,46286384,46297751,"YBEY",8,53.1,"protein_coding","protein_coding",11414
"ENSG00000182362","ENST00000397692",21,46286337,46297751,1,46286384,46297751,"YBEY",8,53.1,"protein_coding","protein_coding",11414
"ENSG00000182362","ENST00000492864",21,46286337,46297751,1,46286454,46292197,"YBEY",8,53.1,"protein_coding","retained_intron",11414
"ENSG00000182362","ENST00000397691",21,46286337,46297751,1,46286645,46297751,"YBEY",8,53.1,"protein_coding","protein_coding",11414
"ENSG00000225735","ENST00000433383",21,17210469,17211347,-1,17210469,17211347,"NEK4P1",1,40.27,"processed_pseudogene","processed_pseudogene",878
"ENSG00000183036","ENST00000328619",21,39867317,39929397,1,39867317,39929397,"PCP4",4,43.6,"protein_coding","protein_coding",62080
"ENSG00000183036","ENST00000462224",21,39867317,39929397,1,39867439,39929397,"PCP4",4,43.6,"protein_coding","nonsense_mediated_decay",62080
"ENSG00000183036","ENST00000468717",21,39867317,39929397,1,39867451,39929397,"PCP4",4,43.6,"protein_coding","processed_transcript",62080
"ENSG00000183036","ENST00000467565",21,39867317,39929397,1,39898476,39929397,"PCP4",4,43.6,"protein_coding","processed_transcript",62080
"ENSG00000202239","ENST00000365369",21,46525618,46525722,1,46525618,46525722,"RNU6-396P",1,39.05,"snRNA","snRNA",104
"ENSG00000280372","ENST00000624662",21,10028361,10029855,-1,10028361,10029855,"bP-21201H5.2",1,32.24,"TEC","TEC",1494
"ENSG00000160282","ENST00000483568",21,46136262,46155567,-1,46136262,46137334,"FTCD",12,58.97,"protein_coding","processed_transcript",19305
"ENSG00000160282","ENST00000460011",21,46136262,46155567,-1,46136262,46142741,"FTCD",12,58.97,"protein_coding","processed_transcript",19305
"ENSG00000160282","ENST00000498355",21,46136262,46155567,-1,46136262,46155567,"FTCD",12,58.97,"protein_coding","processed_transcript",19305
"ENSG00000160282","ENST00000291670",21,46136262,46155567,-1,46136262,46155567,"FTCD",12,58.97,"protein_coding","protein_coding",19305
"ENSG00000160282","ENST00000397748",21,46136262,46155567,-1,46136262,46155567,"FTCD",12,58.97,"protein_coding","protein_coding",19305
"ENSG00000160282","ENST00000446405",21,46136262,46155567,-1,46136779,46138572,"FTCD",12,58.97,"protein_coding","protein_coding",19305
"ENSG00000160282","ENST00000397746",21,46136262,46155567,-1,46136779,46155567,"FTCD",12,58.97,"protein_coding","protein_coding",19305
"ENSG00000160282","ENST00000397743",21,46136262,46155567,-1,46136779,46155567,"FTCD",12,58.97,"protein_coding","protein_coding",19305
"ENSG00000160282","ENST00000494498",21,46136262,46155567,-1,46137239,46142669,"FTCD",12,58.97,"protein_coding","processed_transcript",19305
"ENSG00000160282","ENST00000488577",21,46136262,46155567,-1,46138530,46145573,"FTCD",12,58.97,"protein_coding","processed_transcript",19305
"ENSG00000160282","ENST00000480950",21,46136262,46155567,-1,46145828,46146926,"FTCD",12,58.97,"protein_coding","processed_transcript",19305
"ENSG00000160282","ENST00000469240",21,46136262,46155567,-1,46145829,46146604,"FTCD",12,58.97,"protein_coding","retained_intron",19305
"ENSG00000252462","ENST00000516653",21,17431547,17431647,1,17431547,17431647,"RNU6-113P",1,41.58,"snRNA","snRNA",100
"ENSG00000236612","ENST00000439851",21,30537278,30537381,-1,30537278,30537381,"KRTAP19-11P",1,43.27,"unprocessed_pseudogene","unprocessed_pseudogene",103
"ENSG00000182591","ENST00000332378",21,30880644,30881555,-1,30880644,30881555,"KRTAP11-1",1,53.18,"protein_coding","protein_coding",911
"ENSG00000224747","ENST00000443300",21,44469929,44472516,-1,44469929,44472516,"MTCYBP21",1,44.13,"processed_pseudogene","processed_pseudogene",2587
"ENSG00000244362","ENST00000334849",21,30541660,30561314,-1,30560875,30561314,"KRTAP19-7",2,35.27,"protein_coding","protein_coding",19654
"ENSG00000244362","ENST00000614763",21,30541660,30561314,-1,30541660,30561289,"KRTAP19-7",2,35.27,"protein_coding","protein_coding",19654
"ENSG00000188660","ENST00000448049",21,43446601,43453893,1,43446601,43453893,"LINC00319",2,61.7,"lincRNA","lincRNA",7292
"ENSG00000188660","ENST00000342757",21,43446601,43453893,1,43450024,43453893,"LINC00319",2,61.7,"lincRNA","lincRNA",7292
"ENSG00000227999","ENST00000445440",21,44473723,44475097,-1,44473723,44475097,"MTND5P1",1,46.04,"processed_pseudogene","processed_pseudogene",1374
"ENSG00000176054","ENST00000320371",21,28997613,28998033,-1,28997613,28998033,"RPL23P2",1,47.03,"processed_pseudogene","processed_pseudogene",420
"ENSG00000238627","ENST00000410986",21,25202207,25202315,1,25202207,25202315,"RNA5SP489",1,44.04,"rRNA","rRNA",108
"ENSG00000275523","ENST00000611656",21,39447010,39447069,1,39447010,39447069,"MIR6508",1,48.33,"miRNA","miRNA",59
"ENSG00000275167","ENST00000611994",21,45478266,45478326,1,45478266,45478326,"MIR6815",1,55.74,"miRNA","miRNA",60
"ENSG00000186925","ENST00000334046",21,30541535,30541864,-1,30541535,30541864,"KRTAP19-6",1,47.58,"protein_coding","protein_coding",329
"ENSG00000264580","ENST00000579137",21,42950928,42951014,-1,42950928,42951014,"MIR5692B",1,34.48,"miRNA","miRNA",86
"ENSG00000215559","ENST00000442192",21,13909574,13980437,-1,13909574,13935655,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","processed_transcript",70863
"ENSG00000215559","ENST00000451663",21,13909574,13980437,-1,13909574,13979911,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","transcribed_unprocessed_pseudogene",70863
"ENSG00000215559","ENST00000428576",21,13909574,13980437,-1,13937946,13970003,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","processed_transcript",70863
"ENSG00000215559","ENST00000432875",21,13909574,13980437,-1,13939374,13962785,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","processed_transcript",70863
"ENSG00000215559","ENST00000429521",21,13909574,13980437,-1,13943744,13972129,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","processed_transcript",70863
"ENSG00000215559","ENST00000344693",21,13909574,13980437,-1,13943769,13980437,"ANKRD20A11P",6,37.2,"transcribed_unprocessed_pseudogene","processed_transcript",70863
"ENSG00000182670","ENST00000492275",21,37073226,37203112,1,37073226,37135411,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000418766",21,37073226,37203112,1,37073251,37165751,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000485402",21,37073226,37203112,1,37073258,37165765,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000450533",21,37073226,37203112,1,37073267,37151958,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000438055",21,37073226,37203112,1,37073267,37165765,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000463216",21,37073226,37203112,1,37073277,37135426,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000481605",21,37073226,37203112,1,37073277,37151967,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000494243",21,37073226,37203112,1,37073281,37135452,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000540756",21,37073226,37203112,1,37073281,37153323,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000399010",21,37073226,37203112,1,37073290,37099098,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000399017",21,37073226,37203112,1,37081596,37203112,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000484047",21,37073226,37203112,1,37083626,37093402,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000354749",21,37073226,37203112,1,37085790,37203112,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000479930",21,37073226,37203112,1,37085790,37203112,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000460328",21,37073226,37203112,1,37091327,37096885,"TTC3",25,38.7,"protein_coding","retained_intron",129886
"ENSG00000182670","ENST00000491952",21,37073226,37203112,1,37091394,37095490,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000476784",21,37073226,37203112,1,37107738,37203112,"TTC3",25,38.7,"protein_coding","retained_intron",129886
"ENSG00000182670","ENST00000414818",21,37073226,37203112,1,37144560,37153277,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000411496",21,37073226,37203112,1,37153125,37165640,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000487711",21,37073226,37203112,1,37153237,37165765,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000472398",21,37073226,37203112,1,37156741,37186079,"TTC3",25,38.7,"protein_coding","retained_intron",129886
"ENSG00000182670","ENST00000469939",21,37073226,37203112,1,37159519,37165765,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000428693",21,37073226,37203112,1,37191334,37201621,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000182670","ENST00000488522",21,37073226,37203112,1,37194453,37197947,"TTC3",25,38.7,"protein_coding","processed_transcript",129886
"ENSG00000182670","ENST00000355666",21,37073226,37203112,1,37073271,37203103,"TTC3",25,38.7,"protein_coding","protein_coding",129886
"ENSG00000276529","ENST00000616815",21,44978832,44979274,1,44978832,44979274,"AP001505.10",1,55.76,"lincRNA","lincRNA",442
"ENSG00000261706","ENST00000569966",21,44994362,44995185,-1,44994362,44995185,"LINC00165",1,55.46,"lincRNA","lincRNA",823
"ENSG00000275215","ENST00000613359",21,8395607,8395759,1,8395607,8395759,"RNA5-8S5",1,57.52,"rRNA","rRNA",152
"ENSG00000227702","ENST00000413718",21,41679181,41697336,1,41679181,41697336,"LINC00111",1,50.03,"lincRNA","lincRNA",18155
"ENSG00000228708","ENST00000455391",21,18477358,18486599,-1,18477358,18486599,"AL109763.1",1,32.37,"sense_overlapping","sense_overlapping",9241
"ENSG00000228817","ENST00000626681",21,29370497,29373709,1,29370497,29370973,"BACH1-IT2",3,44.23,"lincRNA","lincRNA",3212
"ENSG00000228817","ENST00000608072",21,29370497,29373709,1,29370623,29373302,"BACH1-IT2",3,44.23,"lincRNA","lincRNA",3212
"ENSG00000228817","ENST00000436529",21,29370497,29373709,1,29370947,29373709,"BACH1-IT2",3,44.23,"lincRNA","lincRNA",3212
"ENSG00000232401","ENST00000432830",21,41716436,41717580,1,41716436,41717580,"LINC00112",1,55.98,"antisense","antisense",1144
