"ensembl.gene.id","ensembl.transcript.id","chromosome.name","gene.start","gene.end","strand","transcript.start","transcript.end.","gene.name","transcript.count","gc.content","gene.type","transcript.type","gene.length","transcript.length"
"ENSG00000238390","ENST00000458922",21,31664306,31664482,1,31664306,31664482,"SNORA81",1,41.24,"snoRNA","snoRNA",176,176
"ENSG00000278233","ENST00000612463",21,8212572,8212724,1,8212572,8212724,"RNA5-8S5",1,57.52,"rRNA","rRNA",152,152
"ENSG00000266211","ENST00000580304",21,13406384,13406460,-1,13406384,13406460,"MIR3156-3",1,42.86,"miRNA","miRNA",76,76
"ENSG00000266195","ENST00000583100",21,17506453,17506728,1,17506453,17506728,"RN7SL163P",1,57.97,"misc_RNA","misc_RNA",275,275
"ENSG00000278618","ENST00000621412",21,13724189,13724274,1,13724189,13724274,"MIR8069-2",1,56.98,"miRNA","miRNA",85,85
"ENSG00000226433","ENST00000450830",21,33156632,33159110,1,33156632,33159110,"AP000290.7",1,41.06,"antisense","antisense",2478,2478
"ENSG00000263973","ENST00000585040",21,40212352,40212431,-1,40212352,40212431,"MIR4760",1,33.75,"miRNA","miRNA",79,79
"ENSG00000235312","ENST00000445258",21,30514613,30514799,-1,30514613,30514799,"KRTAP19-10P",1,48.66,"unprocessed_pseudogene","unprocessed_pseudogene",186,186
"ENSG00000276873","ENST00000616808",21,39171462,39171560,-1,39171462,39171560,"uc_338",1,55.56,"misc_RNA","misc_RNA",98,98
"ENSG00000207147","ENST00000384418",21,40513144,40513279,1,40513144,40513279,"SNORA51",1,50,"snoRNA","snoRNA",135,135
"ENSG00000233754","ENST00000420273",21,42781074,42782229,-1,42781074,42782229,"AP001628.7",1,57.61,"lincRNA","lincRNA",1155,1155
"ENSG00000252273","ENST00000516464",21,16035413,16035509,-1,16035413,16035509,"RNU6-426P",1,31.96,"snRNA","snRNA",96,96
"ENSG00000206802","ENST00000384075",21,26190707,26190813,1,26190707,26190813,"RNU6-926P",1,39.25,"snRNA","snRNA",106,106
"ENSG00000201812","ENST00000364942",21,14070871,14070986,1,14070871,14070986,"RNA5SP488",1,60.34,"rRNA","rRNA",115,115
"ENSG00000207638","ENST00000384906",21,16539089,16539169,1,16539089,16539169,"MIR99A",1,53.09,"miRNA","miRNA",80,80
"ENSG00000278433","ENST00000613967",21,43609887,43609989,-1,43609887,43609989,"MIR6070",1,56.31,"miRNA","miRNA",102,102
"ENSG00000275631","ENST00000620684",21,9646825,9647000,1,9646825,9647000,"U1",1,45.45,"snRNA","snRNA",175,175
"ENSG00000264452","ENST00000583496",21,44439035,44439110,1,44439035,44439110,"snoZ6",1,64.47,"snoRNA","snoRNA",75,75
"ENSG00000212609","ENST00000391307",21,19345148,19345312,1,19345148,19345312,"RNU1-139P",1,45.45,"snRNA","snRNA",164,164
"ENSG00000279967","ENST00000624806",21,8101251,8103706,-1,8101251,8103706,"CH507-338C24.3",1,35.67,"TEC","TEC",2455,2455
"ENSG00000260256","ENST00000568332",21,44347767,44348295,-1,44347767,44348295,"AP001063.1",1,53.69,"lincRNA","lincRNA",528,528
"ENSG00000199030","ENST00000362160",21,16539828,16539911,1,16539828,16539911,"MIRLET7C",1,47.62,"miRNA","miRNA",83,83
"ENSG00000160202","ENST00000291554",21,43169008,43172805,1,43169008,43172805,"CRYAA",5,63.16,"protein_coding","protein_coding",3797,3797
"ENSG00000200792","ENST00000363922",21,32377187,32377322,-1,32377187,32377322,"SNORA80A",1,55.88,"snoRNA","snoRNA",135,135
"ENSG00000201025","ENST00000364155",21,16284696,16284768,-1,16284696,16284768,"SNORD74",1,42.47,"snoRNA","snoRNA",72,72
"ENSG00000159110","ENST00000404220",21,33229901,33265675,1,33229971,33265675,"IFNAR2",10,44.16,"protein_coding","protein_coding",35774,35704
"ENSG00000218125","ENST00000406413",21,30526546,30526701,-1,30526546,30526701,"AP000567.27",1,44.87,"unprocessed_pseudogene","unprocessed_pseudogene",155,155
"ENSG00000232884","ENST00000455253",21,14746762,14753863,-1,14746762,14753863,"AF127936.3",2,36.13,"lincRNA","lincRNA",7101,7101
"ENSG00000234730","ENST00000428205",21,21566763,21615437,1,21566763,21615437,"AF241725.4",1,36.14,"lincRNA","lincRNA",48674,48674
"ENSG00000212479","ENST00000391177",21,29180425,29180639,-1,29180425,29180639,"U3",1,52.09,"snoRNA","snoRNA",214,214
"ENSG00000159261","ENST00000342108",21,36460621,36576569,-1,36460621,36576569,"CLDN14",6,46.47,"protein_coding","protein_coding",115948,115948
"ENSG00000252045","ENST00000516236",21,32538299,32538434,1,32538299,32538434,"SNORA33",1,49.26,"snoRNA","snoRNA",135,135
"ENSG00000249493","ENST00000359341",21,14064325,14069087,1,14064325,14069087,"ANKRD20A18P",1,35.73,"unprocessed_pseudogene","unprocessed_pseudogene",4762,4762
"ENSG00000237338","ENST00000446649",21,46151614,46152647,1,46151614,46152647,"FTCD-AS1",1,61.41,"antisense","antisense",1033,1033
"ENSG00000277437","ENST00000614492",21,8208844,8208904,1,8208844,8208904,"MIR3687-1",1,78.69,"miRNA","miRNA",60,60
"ENSG00000275469","ENST00000619419",21,23079284,23079392,1,23079284,23079392,"MIR6130",1,34.86,"miRNA","miRNA",108,108
"ENSG00000156261","ENST00000540844",21,29055805,29073797,-1,29056322,29073797,"CCT8",12,38.32,"protein_coding","protein_coding",17992,17475
"ENSG00000243646","ENST00000290200",21,33266358,33310187,1,33266358,33297234,"IL10RB",7,46.79,"protein_coding","protein_coding",43829,30876
"ENSG00000235772","ENST00000442605",21,42560374,42561934,-1,42560374,42561934,"AP001625.6",1,50.35,"antisense","antisense",1560,1560
"ENSG00000231867","ENST00000429903",21,42508624,42509661,1,42508624,42509661,"AP001625.5",2,42,"sense_intronic","sense_intronic",1037,1037
"ENSG00000182362","ENST00000397701",21,46286337,46297751,1,46286337,46297751,"YBEY",8,53.1,"protein_coding","protein_coding",11414,11414
"ENSG00000225735","ENST00000433383",21,17210469,17211347,-1,17210469,17211347,"NEK4P1",1,40.27,"processed_pseudogene","processed_pseudogene",878,878
"ENSG00000183036","ENST00000328619",21,39867317,39929397,1,39867317,39929397,"PCP4",4,43.6,"protein_coding","protein_coding",62080,62080
"ENSG00000202239","ENST00000365369",21,46525618,46525722,1,46525618,46525722,"RNU6-396P",1,39.05,"snRNA","snRNA",104,104
